node,distance to depot,demand
node,distance to depot,demand
0,0,0
1,1261.71,469.00
2,1132.13,603.00
3,306.54,167.50
4,684.41,904.50
5,91.62,167.50
6,1451.25,167.50
7,1534.40,25.13
8,1625.62,603.00
9,1740.26,167.50
10,1803.78,361.80
11,1747.45,50.25
12,1846.59,50.25
13,107.03,335.00
14,1367.13,251.25
15,443.75,1206.00
16,201.08,167.50
17,285.66,167.50
18,309.73,80.40
19,268.45,50.25
20,1213.95,2144.00
21,1188.62,904.50
22,1587.83,1206.00
23,1569.67,1541.00
24,1639.52,2144.00
25,1866.07,469.00
26,533.48,321.60
27,493.87,301.50
